time,container,name,cpu,mem,pids
1757257942,37f0189a4b42,software_architecture_assigment1-redis-1,1.08%,9.359MiB / 3.828GiB,6
1757257950,c8ad98610be9,mystifying_lumiere,3.04%,15.54MiB / 3.828GiB,13
1757257950,bde3b1a58e27,software_architecture_assigment1-app-1,0.40%,10.8MiB / 3.828GiB,14
1757257950,6cd3710eac22,traefik,1.09%,57.89MiB / 3.828GiB,13
1757257950,37f0189a4b42,software_architecture_assigment1-redis-1,1.03%,9.609MiB / 3.828GiB,6
1757257958,c8ad98610be9,mystifying_lumiere,1.52%,15.54MiB / 3.828GiB,13
1757257958,bde3b1a58e27,software_architecture_assigment1-app-1,0.36%,10.8MiB / 3.828GiB,14
1757257958,6cd3710eac22,traefik,0.97%,57.87MiB / 3.828GiB,13
1757257958,37f0189a4b42,software_architecture_assigment1-redis-1,1.00%,9.609MiB / 3.828GiB,6
1757257965,c8ad98610be9,mystifying_lumiere,1.62%,15.54MiB / 3.828GiB,13
1757257965,bde3b1a58e27,software_architecture_assigment1-app-1,0.34%,10.8MiB / 3.828GiB,14
1757257965,6cd3710eac22,traefik,1.09%,57.89MiB / 3.828GiB,13
1757257965,37f0189a4b42,software_architecture_assigment1-redis-1,1.40%,9.359MiB / 3.828GiB,6
1757257972,c8ad98610be9,mystifying_lumiere,1.54%,15.54MiB / 3.828GiB,13
1757257972,bde3b1a58e27,software_architecture_assigment1-app-1,0.49%,10.8MiB / 3.828GiB,14
1757257972,6cd3710eac22,traefik,1.00%,57.88MiB / 3.828GiB,13
1757257972,37f0189a4b42,software_architecture_assigment1-redis-1,0.84%,9.359MiB / 3.828GiB,6
1757257980,c8ad98610be9,mystifying_lumiere,1.22%,15.54MiB / 3.828GiB,13
1757257980,bde3b1a58e27,software_architecture_assigment1-app-1,0.31%,10.8MiB / 3.828GiB,14
1757257980,6cd3710eac22,traefik,1.01%,57.89MiB / 3.828GiB,13
1757257980,37f0189a4b42,software_architecture_assigment1-redis-1,1.10%,9.609MiB / 3.828GiB,6
1757257988,c8ad98610be9,mystifying_lumiere,1.53%,15.54MiB / 3.828GiB,13
1757257988,bde3b1a58e27,software_architecture_assigment1-app-1,0.37%,10.8MiB / 3.828GiB,14
1757257988,6cd3710eac22,traefik,1.17%,57.9MiB / 3.828GiB,13
1757257988,37f0189a4b42,software_architecture_assigment1-redis-1,1.09%,9.359MiB / 3.828GiB,6
1757257995,c8ad98610be9,mystifying_lumiere,1.44%,15.55MiB / 3.828GiB,13
1757257995,bde3b1a58e27,software_architecture_assigment1-app-1,0.42%,10.8MiB / 3.828GiB,14
1757257995,6cd3710eac22,traefik,1.02%,57.89MiB / 3.828GiB,13
1757257995,37f0189a4b42,software_architecture_assigment1-redis-1,1.18%,9.359MiB / 3.828GiB,6
